source_dir,source_file,source_lang,token_index,ocr_original_text,translated_by_mbart
sample/chi,foreign-language-immunization-schedules.png,zh_CN,0,"IMMUNIZATION RECORD (预防接穆e,) Personal Health Aumber Care Card): # Student Nanle: Sex (性别;: M Bithdate 擘生姓名 Surame Given Names (名)","IMMUNIZATION RECORD (Prevention of Mue,) Personal Health Aumber Care Card: # Student Nanle: Sex (gender;: M Bithdate) Surame Given Names (name)"
sample/chi,foreign-language-immunization-schedules.png,zh_CN,1,IMUNIZATION RECORD (嶷  簇,IMUNIZATION RECORD
sample/chi,foreign-language-immunization-schedules.png,zh_CN,2,IIMUNIZATIOV (疫苗),IIMUNIZATIOV (vaccine)
sample/chi,foreign-language-immunization-schedules.png,zh_CN,3,DOINY 日月年,Year of DOINY
sample/chi,foreign-language-immunization-schedules.png,zh_CN,4,DDIIAIY,DDIIAIY
sample/chi,foreign-language-immunization-schedules.png,zh_CN,5,DDIMNTY,DDIMNTY
sample/chi,foreign-language-immunization-schedules.png,zh_CN,6,DOIMHIY,DOIMHIY
sample/chi,foreign-language-immunization-schedules.png,zh_CN,7,"DIPIITIIERI-PERTUSSIS-TET {VUS IDPT; 白百破疫苗 (廿:; 破衡虱 百日咳混合疫苗) DIPIITIIERL TETANUS (DT 白破疫苗 (白:: 皴侮圃混和疫苗) POLIOIOP 脊 灰质炎(脊灰)疫苗 (小兄麻}疫茵 IIEMOPIIILUS INFLUENZ E D (IIB) 沉感嗜血杆蔚疫苗 (b嗜血樨菊疫苗) MEASLES,NUMPS, RUBELL1 (IR) 秣疹-腮腺炎-风疹疫苗 (称糁 腮瓞炎- 徙厨麻疹混合疫苗}",DIPIITIIERI-PERTUSSIS-TET {VUS IDPT; 白百破疫苗 (二十:; 破衡虫 百日咳混合疫苗) DIPIITIIERL TETANUS (DT
sample/chi,3 - original.jpg,zh_CN,0,Haemophilus Influenza 8 (HIB) 8型流感嘈血衽簋疫苗 2,Haemophilus Influenza 8 (HIB) 8 type flu vaccine 2
sample/chi,3 - original.jpg,zh_CN,1,OTlescke_Lfsbf ,OTlescke_Lfsbf
sample/chi,3 - original.jpg,zh_CN,2,3,3
sample/chi,3 - original.jpg,zh_CN,3,Pneumococcal,Pneumococcal
sample/chi,3 - original.jpg,zh_CN,4,Izslo 肺炎球菌疫萏 21 3/0 pr 13 3 Slle 31311 Japanese Encephalitis B 1l2 9凶 迦@邂鲢u 乙型脑炎疫苗 Tnuurtae 2 }93踺`/酗@' 3 0 4回@丛esBeingEitpngttilr Ws ,Izslo 肺炎球菌疫 21 3/0 pr 13 3 Slle 31311 Japanese Encephalitis B 1l2 9凶 迦@ rencontreu B type meningitis vaccine Tnuurtae
sample/chi,3 - original.jpg,zh_CN,5,5,5
sample/chi,4 - original.jpg,zh_CN,0,Immunization 接种疫苗,Immunization vaccine
sample/chi,4 - original.jpg,zh_CN,1,"Date D0se Manufacturer BatchlLOT.N Offick 58.厨 日期 剂量 厂家 批号 签章 LalSarealzen,Nv IilzsJo 2 326/o 3ISllojo 4","Date D0se Manufacturer BatchlLOT.N Offick 58. Cuisine Date Dosage Manufacturer Batchl Signature LalSarealzen,Nv IilzsJo 2 326/"
sample/chi,4 - original.jpg,zh_CN,2,BCG 卡介芪,BCG
sample/chi,4 - original.jpg,zh_CN,3,Hepatitis B 乙型肝炎疫苗,Hepatitis B vaccine
