source_dir,source_file,source_lang,token_index,ocr_original_text,translated_by_google
sample/chi,foreign-language-immunization-schedules.png,zh_CN,0,"IMMUNIZATION RECORD (预防接穆e,) Personal Health Aumber Care Card): # Student Nanle: Sex (性别;: M Bithdate 擘生姓名 Surame Given Names (名)",IMMUNIZATION RECORD (Personal Health Care Card): # Student Name: Sex (Gender: M Bithdate Surame Given Names (Name)
sample/chi,foreign-language-immunization-schedules.png,zh_CN,1,IMUNIZATION RECORD (嶷  簇,IMUNIZATION RECORD
sample/chi,foreign-language-immunization-schedules.png,zh_CN,2,IIMUNIZATIOV (疫苗),IIMUNIZATIOV (Vaccine)
sample/chi,foreign-language-immunization-schedules.png,zh_CN,3,DOINY 日月年,"DOINY Sun, Moon and Year"
sample/chi,foreign-language-immunization-schedules.png,zh_CN,4,DDIIAIY,DDIIAIY
sample/chi,foreign-language-immunization-schedules.png,zh_CN,5,DDIMNTY,DDIMNTY
sample/chi,foreign-language-immunization-schedules.png,zh_CN,6,DOIMHIY,DOIMHIY
sample/chi,foreign-language-immunization-schedules.png,zh_CN,7,"DIPIITIIERI-PERTUSSIS-TET {VUS IDPT; 白百破疫苗 (廿:; 破衡虱 百日咳混合疫苗) DIPIITIIERL TETANUS (DT 白破疫苗 (白:: 皴侮圃混和疫苗) POLIOIOP 脊 灰质炎(脊灰)疫苗 (小兄麻}疫茵 IIEMOPIIILUS INFLUENZ E D (IIB) 沉感嗜血杆蔚疫苗 (b嗜血樨菊疫苗) MEASLES,NUMPS, RUBELL1 (IR) 秣疹-腮腺炎-风疹疫苗 (称糁 腮瓞炎- 徙厨麻疹混合疫苗}","DIPIITIIERI-PERTUSSIS-TET {VUS IDPT; DPT (pertussis, diphtheria, and pertussis) DIPIITIIERL TETANUS (DT) POLIOIOP Polio (polio) IIB (polio) IIB (Immuno) Haemophilus influenzae (mumps, rubella) MEASLES, NUMPS, RUBELL1 (IR) Mumps-rubella (mumps, rubella)"
sample/chi,3 - original.jpg,zh_CN,0,Haemophilus Influenza 8 (HIB) 8型流感嘈血衽簋疫苗 2,Haemophilus Influenza 8 (HIB) Vaccine 2
sample/chi,3 - original.jpg,zh_CN,1,OTlescke_Lfsbf ,OTlescke_Lfsbf 
sample/chi,3 - original.jpg,zh_CN,2,3,3
sample/chi,3 - original.jpg,zh_CN,3,Pneumococcal,Pneumococcal
sample/chi,3 - original.jpg,zh_CN,4,Izslo 肺炎球菌疫萏 21 3/0 pr 13 3 Slle 31311 Japanese Encephalitis B 1l2 9凶 迦@邂鲢u 乙型脑炎疫苗 Tnuurtae 2 }93踺`/酗@' 3 0 4回@丛esBeingEitpngttilr Ws ,Izslo Pneumococcal vaccine 21 3/0 pr 13 3 Slle 31311 Japanese Encephalitis B 1l2 9凶伽@邂逅鲢u Japanese encephalitis vaccine Tnuurtae 2 }93踺`/醉@&#39; 3 0 4回@丛esBeingEitpngttilr Ws 
sample/chi,3 - original.jpg,zh_CN,5,5,5
sample/chi,4 - original.jpg,zh_CN,0,Immunization 接种疫苗,Immunization
sample/chi,4 - original.jpg,zh_CN,1,"Date D0se Manufacturer BatchlLOT.N Offick 58.厨 日期 剂量 厂家 批号 签章 LalSarealzen,Nv IilzsJo 2 326/o 3ISllojo 4","Date D0se Manufacturer BatchlLOT.N Offick 58. Kitchen date dosage manufacturer batch number signature LalSarealzen,Nv IilzsJo 2 326/o 3ISllojo 4"
sample/chi,4 - original.jpg,zh_CN,2,BCG 卡介芪,BCG
sample/chi,4 - original.jpg,zh_CN,3,Hepatitis B 乙型肝炎疫苗,Hepatitis B vaccine
sample/chi,4 - original.jpg,zh_CN,4,"Diphtheria; Tetanus; Pertussis (DTaP) 1 Uzslo ZozelELz4lBale_ 白喉。百日陔。破伤风, 2 ZL6l@_ (白百破三联疫苗) 3 SllolIo 4 2 /18/1 Daptzp 5 ""2014.|3 OJnl 堕迦@ 坦堕皿 Hosisall Polio (IPVIOPV JSl 脊髓灰质炎疫苗 2 3/26 [[0 3 }山 DG+SV 4 2013 OSa 虺1# H""Iosel 5",Diphtheria; Tetanus; Pertussis (DTaP) 1 Uzslo ZozelELz4lBale_ Diphtheria; Tetanus; Pertussis (DTaP) 2 ZL6l@_ (DTP) 3 SllolIo 4 2/18/1 Daptzp 5 &quot;2014.|3 OJnl 堕加@ 潭堕皿Hosisall Polio (IPVIOPV JSl polio vaccine 2 3/26 [[0 3 }山DG+SV 4 2013 OSa 虺1# H&quot;Iosel 5
